,Croquettes,Chicken McNuggets  (20 piece),1030
,Sandwich,Grilled Chicken Flatbread,520
,Déjeuners,Steak Egg & Cheese Bagel,640
,Déjeuners,Spanish Omelete Bagel,710
,Déjeuners,Ham Egg & Cheese Bagel,550
,Sandwich,Double Quarter Pounder  with Cheese ,760
,Déjeuners,Big Déjeuners,710
,Déjeuners,Bacon Egg & Cheese Biscuit,480
,Déjeuners,Sausage Egg & Cheese McGriddles™,550
,Déjeuners,Bacon Egg & Cheese McGriddles™,450
,Sandwich,Quarter Pounder  with Cheese ,530
,Sandwich,Double Cheeseburger,480
,Salades,Crispy Chicken California Cobb Salad,380
,Croquettes,Chicken McNuggets  (10 piece),510
,Sandwich,Crispy Chicken,500
,Sandwich,Big Mac ,580
,Salades,Crispy Chicken Bacon Ranch Salad,370
,Sandwich,Big N' Tasty  with Cheese,580
,Déjeuners,Sausage Biscuit with Egg,490
,Déjeuners,Sausage McGriddles™,420
,Salades,Grilled Chicken California Cobb Salad,280
,Vinaigrettes à salades,Newman's Own  Light Balsamic Vinaigrette?,90
,Déjeuners,Sausage Biscuit,410
,Déjeuners,Sausage McMuffin  with Egg,450
,Sandwich,Chicken McGrill ,400
,Salades,Crispy Chicken Caesar Salad,310
,Déjeuners,Egg McMuffin ,300
,Sandwich,McChicken ,430
,Salades,Grilled Chicken Bacon Ranch Salad,270
,Sandwich,Hot 'n Spicy McChicken ,450
,Desserts,Vanilla Triple Thick™ Shake (32 fl oz cup),1140
,Sandwich,Cheeseburger,330
,Sandwich,Big N' Tasty ,530
,Déjeuners,Sausage McMuffin ,370
,Sandwich,Quarter Pounder  ,420
,Déjeuners,Hotcakes (margarine 2 pats & syrup),600
,Sandwich,Filet-O-Fish ,470
,Croquettes,Chicken McNuggets  (6 piece),310
,Salades,Grilled Chicken Caesar Salad,210
,Déjeuners,Sausage Déjeuners Burrito ,290
,Déjeuners,Biscuit,240
,Sandwich,Hamburger,280
,Desserts,Chocolate Triple Thick™ Shake (32 fl oz cup),1150
,Vinaigrettes à salades,Newman's Own  Ranch Dressing,290
,Desserts,Vanilla Triple Thick™ Shake (21 fl oz cup),750
,Déjeuners,Bagel (plain),260
,Vinaigrettes à salades,Newman's Own  Creamy Caesar Dressing,190
,Croquettes,Chicken McNuggets  (4 piece),210
,Salades,California Cobb Salad (without chicken),160
,Vinaigrettes à salades,Newman's Own  Cobb Dressing,120
,Desserts,Oreo  McFlurry™ (16 fl oz cup),820
,Desserts,Vanilla Triple Thick™ Shake (16 fl oz cup),570
,Desserts,Raspberry Triple Thick™ Shake (32 fl oz cup) ,1120
,Frites,Super Size  Frites,610
,Desserts,Strawberry Triple Thick™ Shake (32 fl oz cup),1120
,Desserts,Butterfinger  McFlurry™ (16 fl oz cup),900
,Desserts,Chocolate Triple Thick™ Shake (21 fl oz cup),750
,Frites,Large Frites,540
