Id,Catégorie,Description,Cholestérol
8,Déjeuners,Big Déjeuners,455
115,Déjeuners,Scrambled Eggs (2),425
120,Déjeuners,Spanish Omelete Bagel,275
126,Déjeuners,Steak Egg & Cheese Bagel,265
111,Déjeuners,Sausage Egg & Cheese McGriddles™,260
114,Déjeuners,Sausage McMuffin  with Egg,260
59,Déjeuners,Ham Egg & Cheese Bagel,255
2,Déjeuners,Bacon Egg & Cheese Biscuit,250
109,Déjeuners,Sausage Biscuit with Egg,245
3,Déjeuners,Bacon Egg & Cheese McGriddles™,240
49,Déjeuners,Egg McMuffin ,235
21,Croquettes,Chicken McNuggets  (20 piece),170
110,Déjeuners,Sausage Déjeuners Burrito ,170
48,Sandwich,Double Quarter Pounder  with Cheese ,165
138,Desserts,Vanilla Triple Thick™ Shake (32 fl oz cup),135
131,Desserts,Strawberry Triple Thick™ Shake (32 fl oz cup),135
106,Desserts,Raspberry Triple Thick™ Shake (32 fl oz cup) ,135
28,Desserts,Chocolate Triple Thick™ Shake (32 fl oz cup),135
56,Salades,Grilled Chicken California Cobb Salad,130
41,Salades,Crispy Chicken California Cobb Salad,125
90,Desserts,Nestle Crunch  McFlurry™ (16 fl oz cup),110
83,Desserts,M&M  McFlurry™ (16 fl oz cup),105
15,Desserts,Butterfinger  McFlurry™ (16 fl oz cup),100
100,Desserts,Oreo  McFlurry™ (16 fl oz cup),100
11,Sandwich,Big N' Tasty  with Cheese,95
102,Sandwich,Quarter Pounder  with Cheese ,95
130,Desserts,Strawberry Triple Thick™ Shake (21 fl oz cup),90
27,Desserts,Chocolate Triple Thick™ Shake (21 fl oz cup),90
137,Desserts,Vanilla Triple Thick™ Shake (21 fl oz cup),90
105,Desserts,Raspberry Triple Thick™ Shake (21 fl oz cup) ,90
9,Sandwich,Big Mac ,85
17,Salades,California Cobb Salad (without chicken),85
20,Croquettes,Chicken McNuggets  (10 piece),85
47,Sandwich,Double Cheeseburger,85
10,Sandwich,Big N' Tasty ,80
82,Desserts,M&M  McFlurry™ (12 fl oz cup),75
54,Salades,Grilled Chicken Bacon Ranch Salad,75
89,Desserts,Nestle Crunch  McFlurry™ (12 fl oz cup),75
14,Desserts,Butterfinger   McFlurry ™ (12 fl oz cup),70
101,Sandwich,Quarter Pounder  ,70
99,Desserts,Oreo  McFlurry™ (12 fl oz cup),70
57,Sandwich,Grilled Chicken Flatbread,70
39,Salades,Crispy Chicken Bacon Ranch Salad,65
104,Desserts,Raspberry Triple Thick™ Shake (16 fl oz cup) ,65
26,Desserts,Chocolate Triple Thick™ Shake (16 fl oz cup),65
136,Desserts,Vanilla Triple Thick™ Shake (16 fl oz cup),65
129,Desserts,Strawberry Triple Thick™ Shake (16 fl oz cup),65
19,Sandwich,Chicken McGrill ,60
55,Salades,Grilled Chicken Caesar Salad,60
128,Desserts,Strawberry Triple Thick™ Shake (12 fl oz cup),50
25,Desserts,Chocolate Triple Thick™ Shake (12 fl oz cup),50
23,Croquettes,Chicken McNuggets  (6 piece),50
103,Desserts,Raspberry Triple Thick™ Shake (12 fl oz cup) ,50
135,Desserts,Vanilla Triple Thick™ Shake (12 fl oz cup),50
51,Sandwich,Filet-O-Fish ,50
113,Déjeuners,Sausage McMuffin ,50
38,Sandwich,Crispy Chicken,50
40,Salades,Crispy Chicken Caesar Salad,50
18,Sandwich,Cheeseburger,45
69,Sandwich,Hot 'n Spicy McChicken ,45
84,Sandwich,McChicken ,45
85,Desserts,McDonaldland  Chocolate Chip Cookies,40
22,Croquettes,Chicken McNuggets  (4 piece),35
70,Desserts,Hot Caramel Sundae,35
29,Déjeuners,Cinnamon Roll ,35
112,Déjeuners,Sausage McGriddles™,35
108,Déjeuners,Sausage Biscuit,35
107,Déjeuners,Sausage,35
127,Desserts,Strawberry Sundae,30
71,Desserts,Hot Fudge Sundae,30
60,Sandwich,Hamburger,30
4,Salades,Bacon Ranch Salad (without chicken),25
92,Vinaigrettes à salades,Newman's Own  Creamy Caesar Dressing,20
94,Vinaigrettes à salades,Newman's Own  Ranch Dressing,20
134,Desserts,Vanilla Reduced Fat Ice Cream Cone,20
73,Déjeuners,Hotcakes (margarine 2 pats & syrup),20
53,Desserts,Fruit 'n Yogurt Parfait¯,15
52,Desserts,Fruit 'n Yogurt Parfait (w/o granola)¯,15
68,Croquettes,Honey Mustard Sauce,10
1,Breuvages,Lowfat Milk,10
81,Croquettes,Light Mayonnaise?,10
16,Salades,Caesar Salad (without chicken),10
91,Vinaigrettes à salades,Newman's Own  Cobb Dressing,10
72,Croquettes,Hot Mustard Sauce,5
58,Breuvages,Half & Half Creamer,5
118,Desserts,Snack Size Fruit 'n Yogurt Parfait (w/o granola)¯,5
24,Desserts,Chocolate Chip Cookie ,5
119,Desserts,Snack Size Fruit 'n Yogurt Parfait¯,5
79,Desserts,Kiddie Cone,5
6,Desserts,Baked Apple Pie,0
31,Breuvages,Coca-Cola Classic  (Large) ,0
45,Breuvages,Diet Coke  (Small) ,0
65,Breuvages,Hi-C  Orange Drink (Small) ,0
78,Breuvages,Iced Tea (Super Size ),0
32,Breuvages,Coca-Cola Classic  (Medium) ,0
42,Breuvages,Diet Coke  (Child) ,0
62,Breuvages,Hi-C  Orange Drink (Child) ,0
75,Breuvages,Iced Tea (Large),0
76,Breuvages,Iced Tea (Medium),0
33,Breuvages,Coca-Cola Classic  (Small) ,0
64,Breuvages,Hi-C  Orange Drink (Medium) ,0
30,Breuvages,Coca-Cola Classic  (Child) ,0
35,Breuvages,Coffee (Large),0
77,Breuvages,Iced Tea (Small),0
98,Breuvages,Orange Juice (21 fl oz cup),0
116,Salades,Side Salad,0
36,Breuvages,Coffee (Medium),0
74,Breuvages,Iced Tea (Child),0
96,Breuvages,Orange Juice (12 fl oz cup),0
97,Breuvages,Orange Juice (16 fl oz cup),0
37,Breuvages,Coffee (Small),0
121,Breuvages,Sprite  (Child) ,0
124,Breuvages,Sprite  (Small) ,0
44,Breuvages,Diet Coke  (Medium) ,0
93,Vinaigrettes à salades,Newman's Own  Light Balsamic Vinaigrette?,0
86,Desserts,McDonaldland  Cookies,0
7,Croquettes,Barbeque Sauce,0
50,Déjeuners,English Muffin,0
88,Frites,Medium Frites,0
125,Breuvages,Sprite  (Super Size ) ,0
13,Salades,Butter Garlic Croutons,0
61,Déjeuners,Hash Browns,0
133,Croquettes,Sweet 'N Sour Sauce,0
117,Frites,Small Frites,0
80,Frites,Large Frites,0
122,Breuvages,Sprite  (Large) ,0
34,Breuvages,Coca-Cola Classic  (Super Size ) ,0
132,Frites,Super Size  Frites,0
5,Déjeuners,Bagel (plain),0
123,Breuvages,Sprite  (Medium) ,0
46,Breuvages,Diet Coke  (Super Size ) ,0
66,Breuvages,Hi-C  Orange Drink (Super Size ) ,0
12,Déjeuners,Biscuit,0
43,Breuvages,Diet Coke  (Large) ,0
63,Breuvages,Hi-C  Orange Drink (Large) ,0
95,Desserts,Nuts (for Sundaes),0
87,Frites,McValue  Frites,0
67,Croquettes,Honey,0
